concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason	
90000009	1571605	Concept replaced by	20220128	20991231	
90000010	45576183	Concept replaced by	20220128	20991231	
90000011	36660056	Concept replaced by	20220128	20991231	
90000012	4084843	Concept replaced by	20220128	20991231	
90000013	4085802	Concept replaced by	20220128	20991231	
80000016	4041882	Concept replaced by	20220128	20991231	
80000065	4042241	Concept replaced by	20220128	20991231	
60000204	4055825	Concept replaced by	20220128	20991231	
60000205	4055826	Concept replaced by	20220128	20991231	
60000206	4041883	Concept replaced by	20220128	20991231	
80000023	4055822	Concept replaced by	20220128	20991231	
80000015	4055823	Concept replaced by	20220128	20991231	
60000207	4042238	Concept replaced by	20220128	20991231	
60000208	4042239	Concept replaced by	20220128	20991231	
60000209	4055289	Concept replaced by	20220128	20991231	
60000260	4041869	Concept replaced by	20220128	20991231	
80000104	46272635	Concept replaced by	20220128	20991231	
60000265	37207731	Concept replaced by	20220128	20991231	
60000264	37207731	Concept replaced by	20220128	20991231	
60000266	37207731	Concept replaced by	20220128	20991231	
60000267	37207731	Concept replaced by	20220128	20991231	
60000268	37207731	Concept replaced by	20220128	20991231	
70000120	37207731	Concept replaced by	20220128	20991231	
70000121	37207731	Concept replaced by	20220128	20991231	
70000122	37207731	Concept replaced by	20220128	20991231	
70000123	37207731	Concept replaced by	20220128	20991231	
70000124	37207731	Concept replaced by	20220128	20991231	
60000261	36679951	Concept replaced by	20220128	20991231	
60000262	36679951	Concept replaced by	20220128	20991231	
60000263	36679951	Concept replaced by	20220128	20991231	
70000115	36679951	Concept replaced by	20220128	20991231	
70000116	36679951	Concept replaced by	20220128	20991231	
70000117	36679951	Concept replaced by	20220128	20991231	
70000118	36679951	Concept replaced by	20220128	20991231	
70000119	36679951	Concept replaced by	20220128	20991231	
70000125	3656296	Concept replaced by	20220128	20991231	
70000126	45960318	Concept replaced by	20220128	20991231	
70000127	45960318	Concept replaced by	20220128	20991231	
70000130	45959888	Concept replaced by	20220128	20991231	
70000131	37312734	Concept replaced by	20220128	20991231	
70000132	37312734	Concept replaced by	20220128	20991231	
70000144	3654522	Concept replaced by	20220128	20991231	
70000145	3654522	Concept replaced by	20220128	20991231	
70000146	3654522	Concept replaced by	20220128	20991231	
70000147	3662373	Concept replaced by	20220128	20991231	
70000148	3656216	Concept replaced by	20220128	20991231	
70000141	3663287	Concept replaced by	20220128	20991231	
70000142	3663287	Concept replaced by	20220128	20991231	
70000143	3663287	Concept replaced by	20220128	20991231	
70000091	4259354	Concept replaced by	20220128	20991231	
80000106	4250733	Concept replaced by	20220128	20991231	
80000107	4014320	Concept replaced by	20220128	20991231	
90000017	4064788	Concept replaced by	20220128	20991231	
80000103	4064788	Concept replaced by	20220128	20991231	
90000018	4064788	Concept replaced by	20220128	20991231	
80000101	4064788	Concept replaced by	20220128	20991231	
70000105	4125441	Concept replaced by	20220128	20991231	
60000015	3009542	Concept replaced by	20220128	20991231	
90000023	3009542	Concept replaced by	20220128	20991231	
60000016	4168615	Concept replaced by	20220128	20991231	
60000017	4199173	Concept replaced by	20220128	20991231	
60000018	4064918	Concept replaced by	20220128	20991231	
60000233	40770314	Concept replaced by	20220128	20991231	
80000055	40770314	Concept replaced by	20220128	20991231	
60000234	40766616	Concept replaced by	20220128	20991231	
60000235	4014725	Concept replaced by	20220128	20991231	
80000062	3045275	Concept replaced by	20220128	20991231	
80000063	42868852	Concept replaced by	20220128	20991231	
80000017	3045336	Concept replaced by	20220128	20991231	
70000044	36713753	Concept replaced by	20220128	20991231	
70000037	43054892	Concept replaced by	20220128	20991231	
70000034	4136529	Concept replaced by	20220128	20991231	
60000279	4136529	Concept replaced by	20220128	20991231	
60000019	37167634	Concept replaced by	20220128	20991231	
60000014	4090979	Concept replaced by	20220128	20991231	
60000012	4064903	Concept replaced by	20220128	20991231	
60000011	4218428	Concept replaced by	20220128	20991231	
60000007	3002529	Concept replaced by	20220128	20991231	
80000051	4129046	Concept replaced by	20220128	20991231	
70000063	3966684	Concept replaced by	20220128	20991231	
70000040	3011043	Concept replaced by	20220128	20991231	
70000052	1034424	Concept replaced by	20220128	20991231	
